,Unnamed: 0,Episode ID,Date,Title,Description,Episode Link,Reference 1,Reference 1 Link,Reference 2,Referene 2 Link,Full Description
11,11,#1528,08.20.20,Nikki Glaser,"#1528. Nikki Glaser is an American stand-up comedian, podcast host, and television host. Look for her podcast...",http://podcasts.joerogan.net/podcasts/nikki-glaser-3,@NikkiGlaser,https://twitter.com/NikkiGlaser,NikkiGlaser.com,http://nikkiglaser.com/,"
JRE #1528 - Nikki Glaser08.20.20
		#1528. Nikki Glaser is an American stand-up comedian, podcast host, and television host. Look for her podcast ""You Up with Nikki Glaser"" available on Apple Podcasts.		
		





00:00:00  / 
				2:42:06




To download: Right-Click and save target as.



SHARE

"
12,12,#1526,08.15.20,Ali Macofsky,"#1526. Ali Macofsky is an actress, writer, and standup comedian. Checkout her podcast “Resting Bitch”...",http://podcasts.joerogan.net/podcasts/ali-macofsky,@notalimac,https://www.instagram.com/notalimac,@restingbpod,https://www.instagram.com/restingbpod/,"
JRE #1526 - Ali Macofsky08.15.20
		#1526. Ali Macofsky is an actress, writer, and standup comedian. Checkout her podcast ""Resting Bitch"" available on Apple Podcasts.		
		





00:00:00  / 
				2:40:31




To download: Right-Click and save target as.



SHARE

"
13,13,#1524,08.13.20,Ron Funches,"#1524. Ron Funches is a comedian, actor and writer. His podcast “Gettin’ Better” is available on Apple...",http://podcasts.joerogan.net/podcasts/ron-funches-2,@RonFunches,https://twitter.com/RonFunches,RonFunches.com,https://ronfunches.com/,"
JRE #1524 - Ron Funches08.13.20
		#1524. Ron Funches is a comedian, actor and writer. His podcast ""Gettin' Better"" is available on Apple Podcasts & Spotify. On September 5 , his live stand up event ""Awakening"" will be streaming on YouTube and tickets are now available here: eventbrite.com/e/ron-funches-awakening-tickets-113410704470		
		





00:00:00  / 
				2:22:24




To download: Right-Click and save target as.



SHARE

"
14,14,#1522,08.07.20,Rob Lowe,"#1522. Rob Lowe is an actor, producer, and director. His new podcast “Literally! with Rob...",http://podcasts.joerogan.net/podcasts/rob-lowe,@RobLowe,https://twitter.com/RobLowe,apple.co/literally,https://podcasts.apple.com/us/podcast/literally-with-rob-lowe/id1510058141?mt=2&ign-itsct=pod_teamcoco_literallyroblowe&ign-itscg=80085,"
JRE #1522 - Rob Lowe08.07.20
		#1522. Rob Lowe is an actor, producer, and director. His new podcast ""Literally! with Rob Lowe"" is now available on Apple Podcasts.		
		





00:00:00  / 
				3:02:40




To download: Right-Click and save target as.



SHARE

"
15,15,#1529,08.21.20,Whitney Cummings & Annie Lederman,"#1529. Whitney Cummings is a stand up comedian, actress, writer, and producer. Check out her new podcast...",http://podcasts.joerogan.net/podcasts/whitney-cummings-annie-lederman,@WhitneyCummings,https://twitter.com/WhitneyCummings,@annielederman,https://twitter.com/annielederman,"
JRE #1529 - Whitney Cummings & Annie Lederman08.21.20
		#1529. Whitney Cummings is a stand up comedian, actress, writer, and producer. Check out her new podcast “Good For You” on Apple Podcasts & Spotify.  Annie Lederman is a stand up comedian. She is also the host of “MEANSPIRATION” podcast on All Things Comedy.		
		





00:00:00  / 
				3:18:41




To download: Right-Click and save target as.



SHARE

"
16,16,#1527,08.18.20,David Blaine,"#1527. David Blaine is an illusionist, endurance artist, and extreme performer. He is best known for...",http://podcasts.joerogan.net/podcasts/david-blaine,@davidblaine,https://twitter.com/davidblaine,DavidBlaine.com,https://davidblaine.com/,"
JRE #1527 - David Blaine08.18.20
		#1527. David Blaine is an illusionist, endurance artist, and extreme performer. He is best known for his high-profile feats of endurance and has set and broken several world records. His new special ""Ascension"" premieres on YouTube live on August 31. https://www.youtube.com/watch?v=QwzvNAAqH3g		
		





00:00:00  / 
				2:32:06




To download: Right-Click and save target as.



SHARE

"
17,17,#1525,08.14.20,Tim Dillon,"#1525. Tim Dillon is a comedian, tour guide, and host. His podcast “The Tim Dillon Show”...",http://podcasts.joerogan.net/podcasts/tim-dillon-4,@TimJDillon,https://twitter.com/TimJDillon,TimDillonComedy.com,http://timdilloncomedy.com/,"
JRE #1525 - Tim Dillon08.14.20
		#1525. Tim Dillon is a comedian, tour guide, and host. His podcast “The Tim Dillon Show” is available on YouTube & Apple Podcasts.		
		





00:00:00  / 
				




To download: Right-Click and save target as.



SHARE

"
18,18,#1523,08.12.20,Joey Diaz & Brian Redban,#1523. Joey “CoCo” Diaz is a Cuban-American stand up comedian and actor.  Joey also hosts his own...,http://podcasts.joerogan.net/podcasts/joey-diaz-brian-redban,@madflavor,https://twitter.com/madflavor,@redban,https://twitter.com/redban,"
JRE #1523 - Joey Diaz & Brian Redban08.12.20
		#1523. Joey “CoCo” Diaz is a Cuban-American stand up comedian and actor.  Joey also hosts his own podcast called “The Church of What’s Happening Now.” Brian Redban is a comedian and the founder of the Deathsquad podcast network. Also look for him on “Kill Tony” available on Apple Podcasts & YouTube.		
		





00:00:00  / 
				3:39:40




To download: Right-Click and save target as.



SHARE

"
19,19,#1521,08.06.20,Josh Dubin & Jason Flom,#1521. Josh Dubin is an Innocence Project Ambassador Advisor & President of Dubin Research and...,http://podcasts.joerogan.net/podcasts/josh-dubin-jason-flom,@itsjasonflom,https://twitter.com/itsjasonflom,InnocenceProject.org,https://www.innocenceproject.org/,"
JRE #1521 - Josh Dubin & Jason Flom08.06.20
		#1521. Josh Dubin is an Innocence Project Ambassador Advisor & President of Dubin Research and Consulting, Inc. He also hosts a podcast called ""Wrongful Conviction: Junk Science"" available on Apple Podcasts and Spotify. https://apple.co/2Q5EtHd Jason Flom is an Innocence Project Board Member, CEO of Lava Media, and host of the ""Wrongful Conviction with Jason Flom"" podcast available on Apple Podcasts and Spotify. https://apple.co/2EJxrF3		
		





00:00:00  / 
				3:04:18




To download: Right-Click and save target as.



SHARE

"
20,20,#1520,08.05.20,Dr. Debra Soh,"#1520. Dr. Debra Soh is a former sex researcher, neuroscientist, columnist, and podcast host. Her...",http://podcasts.joerogan.net/podcasts/dr-debra-soh-2,@drdebrasoh,https://twitter.com/drdebrasoh,The End of Gender,https://www.amazon.com/dp/1982132515,"
JRE #1520 - Dr. Debra Soh08.05.20
		#1520. Dr. Debra Soh is a former sex researcher, neuroscientist, columnist, and podcast host. Her new book The End of Gender: Debunking the Myths about Sex and Identity in Our Society is now available.		
		





00:00:00  / 
				2:12:24




To download: Right-Click and save target as.



SHARE

"
21,21,#1518,07.31.20,David Choe,"#1518. David Choe is an American painter, muralist, explorer, adventurer, podcaster, graffiti artist and graphic...",http://podcasts.joerogan.net/podcasts/david-choe-2,@davidchoe,https://twitter.com/davidchoe,DavidChoe.com,http://davidchoe.com/,"
JRE #1518 - David Choe07.31.20
		#1518. David Choe is an American painter, muralist, explorer, adventurer, podcaster, graffiti artist and graphic novelist from Los Angeles, CA.		
		





00:00:00  / 
				4:00:47




To download: Right-Click and save target as.



SHARE

"
22,22,#1516,07.29.20,Post Malone,"#1516. Post Malone is a singer-songwriter, rapper and record producer.",http://podcasts.joerogan.net/podcasts/post-malone,@PostMalone,https://twitter.com/PostMalone,PostMalone.com,http://www.postmalone.com/,"
JRE #1516 - Post Malone07.29.20
		#1516. Post Malone is a singer-songwriter, rapper and record producer.		
		





00:00:00  / 
				3:58:26




To download: Right-Click and save target as.



SHARE

"
23,23,#1514,07.24.20,Joe De Sena,#1514. Joe De Sena is the CEO and founder of Spartan and the Death Race. He...,http://podcasts.joerogan.net/podcasts/joe-de-sena,@realJoeDeSena,https://twitter.com/realJoeDeSena,JoeDeSena.com,https://joedesena.com/,"
JRE #1514 - Joe De Sena07.24.20
		#1514. Joe De Sena is the CEO and founder of Spartan and the Death Race. He is also a NY Times best selling author of Spartan Up, Spartan Fit and The Spartan Way.		
		





00:00:00  / 
				2:39:47




To download: Right-Click and save target as.



SHARE

"
24,24,#1512,07.22.20,Ben Shapiro,"#1512. Ben Shapiro is editor-in-chief of the Daily Wire, syndicated columnist, and host of “The Ben Shapiro...",http://podcasts.joerogan.net/podcasts/ben-shapiro-3,@benshapiro,https://twitter.com/benshapiro,DailyWire.com,http://www.dailywire.com/,"
JRE #1512 - Ben Shapiro07.22.20
		#1512. Ben Shapiro is editor-in-chief of the Daily Wire, syndicated columnist, and host of “The Ben Shapiro Show” is available on SoundCloud and iTunes. His new book How to Destroy America in Three Easy Steps is available now everywhere.		
		





00:00:00  / 
				1:52:57




To download: Right-Click and save target as.



SHARE

"
25,25,#1519,08.04.20,Mike Baker,#1519. Mike Baker is a former CIA covert operations officer. Currently he is the president of Diligence...,http://podcasts.joerogan.net/podcasts/mike-baker-9,@MBCompanyMan,https://twitter.com/MBCompanyMan,Download This Episode,http://traffic.libsyn.com/joeroganexp/p1519.mp3,"
JRE #1519 - Mike Baker08.04.20
		#1519. Mike Baker is a former CIA covert operations officer. Currently he is the president of Diligence LLC, a global intelligence and security firm. His new show ""Black Files Declassified"" is now available on the Science Channel.		
		





00:00:00  / 
				2:54:28




To download: Right-Click and save target as.



SHARE

"
26,26,#1517,07.30.20,Nancy Panza,"#1517. Nancy Panza, Ph.D, is a Professor of Psychology at Cal State Fullerton. She has...",http://podcasts.joerogan.net/podcasts/nancy-panza,Download This Episode,http://traffic.libsyn.com/joeroganexp/p1517.mp3,,,"
JRE #1517 - Nancy Panza07.30.20
		#1517. Nancy Panza, Ph.D, is a Professor of Psychology at Cal State Fullerton. She has also worked within county, state, and federal facilities providing clinical and forensic services for juvenile and adult offenders and has provided services for police departments in New York City, Alabama, and Southern California.		
		





00:00:00  / 
				2:04:04




To download: Right-Click and save target as.



SHARE

"
27,27,#1515,07.28.20,Dr. Bradley Garrett,#1515. Dr. Bradley Garrett is an American social and cultural geographer at University College Dublin in...,http://podcasts.joerogan.net/podcasts/dr-bradley-garrett,@goblinmerchant,https://twitter.com/goblinmerchant,BradleyGarrett.com,http://www.bradleygarrett.com/,"
JRE #1515 - Dr. Bradley Garrett07.28.20
		#1515. Dr. Bradley Garrett is an American social and cultural geographer at University College Dublin in Ireland and a writer for The Guardian newspaper in the United Kingdom. His new book Bunker: Building for the End Times is available August 4, 2020.		
		





00:00:00  / 
				2:52:40




To download: Right-Click and save target as.



SHARE

"
28,28,#1513,07.23.20,Andrew Huberman,#1513. Andrew Huberman is a neuroscientist and tenured professor in the Department of Neurobiology at the...,http://podcasts.joerogan.net/podcasts/andrew-huberman,@hubermanlab,https://twitter.com/hubermanlab,HubermanLab.com,http://hubermanlab.com/,"
JRE #1513 - Andrew Huberman07.23.20
		#1513. Andrew Huberman is a neuroscientist and tenured professor in the Department of Neurobiology at the Stanford University School of Medicine. He has made numerous important contributions to the fields of brain development, brain plasticity, and neural regeneration and repair.		
		





00:00:00  / 
				




To download: Right-Click and save target as.



SHARE

"
29,29,#1511,07.21.20,Oliver Stone,"#1511. Oliver Stone is an award-winning director, producer, screenwriter, and author. His memoir Chasing the Light...",http://podcasts.joerogan.net/podcasts/oliver-stone,@https://twitter.com/theoliverstone,https://twitter.com/theoliverstone,Chasing the Light,https://linktr.ee/OStone,"
JRE #1511 - Oliver Stone07.21.20
		#1511. Oliver Stone is an award-winning director, producer, screenwriter, and author. His memoir Chasing the Light is available on July 21, 2020.		
		





00:00:00  / 
				1:52:39




To download: Right-Click and save target as.



SHARE

"
30,30,#1510,07.17.20,George Knapp & Jeremy Corbell,"#1510. George Knapp is an author, speaker, and the chief investigative reporter at KLAS TV...",http://podcasts.joerogan.net/podcasts/george-knapp-jeremy-corbell,@g_knapp,https://twitter.com/g_knapp,@JeremyCorbell,https://twitter.com/JeremyCorbell,"
JRE #1510 - George Knapp & Jeremy Corbell07.17.20
		#1510. George Knapp is an author, speaker, and the chief investigative reporter at KLAS TV in Las Vegas, NV. Jeremy Corbell is a contemporary artist and documentary filmmaker.		
		





00:00:00  / 
				




To download: Right-Click and save target as.



SHARE

"
31,31,#1508,07.15.20,Peter Schiff,"#1508. Peter Schiff is an American businessman, investment broker, author and financial commentator. Schiff is CEO and...",http://podcasts.joerogan.net/podcasts/peter-schiff-4,@PeterSchiff,https://twitter.com/PeterSchiff,SchiffRadio.com,http://www.schiffradio.com/,"
JRE #1508 - Peter Schiff07.15.20
		#1508. Peter Schiff is an American businessman, investment broker, author and financial commentator. Schiff is CEO and chief global strategist of Euro Pacific Capital Inc. He also hosts his own podcast called “The Peter Schiff Podcast” available on iTunes and at SchiffRadio.com		
		





00:00:00  / 
				




To download: Right-Click and save target as.



SHARE

"
32,32,#050,07.13.20,"Fight Companion – July 11, 2020","#050. Joe is joined by Joey Diaz & Tony Hinchcliffe to watch the fights on July 11, 2020.",http://podcasts.joerogan.net/podcasts/fight-companion-july-11-2020,@madflavor,https://twitter.com/madflavor,@TonyHinchcliffe,https://twitter.com/TonyHinchcliffe,"
JRE #050 - Fight Companion – July 11, 202007.13.20
		#050. Joe is joined by Joey Diaz & Tony Hinchcliffe to watch the fights on July 11, 2020.		
		





00:00:00  / 
				3:54:43




To download: Right-Click and save target as.



SHARE

"
33,33,#1505,07.09.20,Hannibal Buress,"#1505. Hannibal Buress is a stand-up comedian, actor, television writer and host. Look for his...",http://podcasts.joerogan.net/podcasts/hannibal-buress-5,@hannibalburess,https://twitter.com/hannibalburess,HannibalBuress.com,http://hannibalburess.com/,"
JRE #1505 - Hannibal Buress07.09.20
		#1505. Hannibal Buress is a stand-up comedian, actor, television writer and host. Look for his new special ""Miami Nights"" available now on YouTube. https://youtu.be/kVc4-05Agf0		
		





00:00:00  / 
				2:44:30




To download: Right-Click and save target as.



SHARE

"
34,34,#1503,07.07.20,Josh Barnett,#1503. Josh Barnett is a mixed martial artist and professional wrestler who competes in the...,http://podcasts.joerogan.net/podcasts/josh-barnett-4,@JoshLBarnett,https://twitter.com/JoshLBarnett,JoshBarnett.com,https://www.joshbarnett.com/,"
JRE #1503 - Josh Barnett07.07.20
		#1503. Josh Barnett is a mixed martial artist and professional wrestler who competes in the Heavyweight division of Bellator.		
		





00:00:00  / 
				3:12:27




To download: Right-Click and save target as.



SHARE

"
